DATE,VI,VII,VIII,IX,X,XI,XII
2025-06-27,(Biology|Geography),(History|Civics),(Physics|Chemistry),Social Science,Science,[Maths|Applied Maths|Psychology|History|Enterpreneurship],[Physics|Accountancy|Political Science]
2025-06-30,(Physics|Chemistry),(Biology|Geography),(History|Civics),Science,Social Science,[Chemistry|Accountancy|Political Science],[Maths|Applied Maths|Psychology|History|Enterpreneurship]
2025-07-01,Maths,[Hindi|Bengali],Maths,English,[Hindi|Bengali|Sanskrit],English,[Biology|Economics|Computer Science|Nutrition]
2025-07-02,English,Maths,[Hindi|Bengali|Sanskrit],Maths,English,[Biology|Economics|Computer Science|Nutrition],[Bengali|Hindi|Sanskrit|Physical Education|Painting]
2025-07-03,(History|Civics),English,(Biology|Geography),[Hindi|Bengali|Sanskrit],Maths,[Bengali|Hindi|Sanskrit|Physical Education|Painting],[Chemistry|Business Studies|Geography|Sociology]
2025-07-04,[Hindi|Bengali],(Physics|Chemistry),English,[Information Technology|Aritifical Intelligence|Painting|Banking and Insurance],[Information Technology|Aritifical Intelligence|Painting|Banking and Insurance],[Physics|Business Studies|Geography|Sociology],English
2025-07-07,[3rd Language|Sanskrit|Computer],[3rd Language|Sanskrit|Computer],[3rd Language|Computer],NULL,NULL,NULL,NULL
